post_id,date,date_original,year,text,source_url,scheduled_datetime
1,1847-03-17,17 марта 1847 года. Казань.,1847,"Вот уже шесть дней, как я поступил в клинику, и вот шесть дней, как я почти доволен собой. Les petites causes produisent de grands effets (малые причины производят большие следствия). Я заразился гонореей — понятно, от чего именно она обычно берётся; и это пустячное обстоятельство подтолкнуло меня к тому шагу, на который я уже давно был готов, но никак не мог решиться (видимо, оттого, что действовал необдуманно). Здесь я совершенно один, мне никто не мешает, здесь у меня нет прислуги, мне никто не помогает — а значит, ничто постороннее не влияет на мой рассудок и память, и моя деятельность неизбежно должна развиваться. Главная же польза в том, что я ясно увидел: беспорядочная жизнь, которую большинство светских людей считают следствием молодости, на самом деле есть не что иное, как следствие раннего разврата души.

Уединение так же полезно человеку, живущему в обществе, как общительность — человеку, живущему вне его. Стоит человеку отделиться от общества, углубиться в себя, и как только рассудок снимет с него очки, показывавшие всё в искажённом виде, взгляд его на вещи проясняется настолько, что ему становится непонятно, как он раньше всего этого не видел. Дай разуму действовать — он укажет тебе твоё предназначение, даст тебе правила, с которыми можно смело идти в общество. Всё, что согласуется с главной способностью человека — разумом, — будет согласовываться и со всем, что существует; разум отдельного человека есть часть всего сущего, а часть не может нарушить порядок целого. Зато целое способно уничтожить часть. Поэтому воспитывай свой разум так, чтобы он был созвучен целому, источнику всего, а не части — обществу людей; тогда твой разум сольётся с этим целым воедино, и тогда общество, будучи лишь частью, не будет иметь над тобой власти.

Легче написать десять томов философии, чем применить на практике хотя бы один принцип.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/tetrad-a.htm,2026-07-12 09:00:00
2,1847-03-18,18 Марта.,1847,"Я читал наказ Екатерины и так как дал себе вообще правило, читая всякое сурьезное сочинение, обдумывать его и выписывать из него замечательныя мысли, я пишу здесь мое мнение о первых шести главах этаго замечательнаго произведения. Начинается разбор «Наказа» императрицы Екатерины II в сравнении с «Духом законов» Монтескье— задание профессора Мейера по гражданскому праву.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/tetrad-a.htm,2026-07-13 09:00:00
3,1847-03-19,19 Марта.,1847,"Во мне начинает проявляться страсть к наукам; хотя из страстей человека эта есть благороднейшая, но не менее того я никогда не предамся ей односторонне. Односторонность есть главная причина несчастий человека.— Продолжаю разбирать Наказ Екатерины.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/tetrad-a.htm,2026-07-14 09:00:00
4,1847-03-21,21 Марта.,1847,"В X главе излагаются основныя правила и опаснейшия ошибки, касающияся до Уголовнаго судопроизводства.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/tetrad-a.htm,2026-07-15 09:00:00
5,1847-03-22,22 Марта.,1847,"По моему мнению, намерение, так как есть действие души, не выразившееся во внешности, никогда не может быть противно закону Юридическому, ибо оно не подлежит ему.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/tetrad-a.htm,2026-07-16 09:00:00
6,1847-03-24,24 Мар.,1847,"Я много переменился; но все еще не достиг той степени совершенства (в занятиях), котораго бы мне хотелось достигнуть.— Я не исполняю того, чтò себе предписываю; чтò исполняю, то исполняю не хорошо, не изощряю памяти.— Для этого пишу здесь некоторыя правила, которыя, как мне кажется, много мне помогут, ежели я буду им следовать. 1) Чтò назначено непременно исполнить, то исполняй, не смотря ни на что. 2) Что исполняешь, исполняй хорошо.— 3) Никогда не справляйся в книге, ежели что нибудь забыл, а старайся сам припомнить. 4) Заставь постоянно ум твой действовать со всею ему возможною силою. 5) Читай и думай всегда громко. 6) Не стыдись говорить людям, которые тебе мешают, что они мешают.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/tetrad-a.htm,2026-07-17 09:00:00
7,1847-03-25,25 Марта.,1847,"Недостаточно отвращать людей от зла, нужно еще их поощрять к добру.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/tetrad-a.htm,2026-07-18 09:00:00
8,1847-03-26,26 Марта.,1847,"В XX главе содержаться разныя статьи, требующия объяснения. Вообще о Наказе Императрицы Екатерины можно сказать следующее: в нем везде мы находим два противоположных начала— дух революционный, под влиянием котораго находилась тогда вся Европа, и дух деспотизма, от котораго тщеславие её заставляло ее не отказываться. Вообще мы находим в этом произведении более мелочности, чем основательности, более остроумия, чем разума, более тщеславия, чем любви к истине. В заключение скажу, что Наказ этот принес больше славы Екатерине, чем пользы России.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/tetrad-a.htm,2026-07-19 09:00:00
9,1850-06-14,14 Июня,1850,"Все равно, может, опять брошу; за то приятное занятие, и приятно будет перечесть, также как приятно было перечесть старые.— Мало ли бывает в голове мыслей, и которыя кажуться весьма замечательными; а как рассмотришь, выдет пустошь; иныя же точно дельныя— вот для этаго то и нужен дневник. По дневнику весьма удобно судить о самом себе.— Потом, так как я нахожу необходимым определять все занятия вперед, то для этаго тоже необходим дневник.— Хотелось бы привыкнуть определять свой образ жизни вперед, не на один день, а на год, на несколько лет, на всю жизнь даже; слишком трудно, почти невозможно; однако, попробую, сначала на день, потом на два дни— сколько дней я буду верен определениям, на столько дней буду задавать себе вперед.

Представляются случаи, в которых эти определения могут быть изменяемы; но в том только случае я допускаю такого рода отступления, когда они определены правилами; поэтому то в случае отступлений я в дневнике буду объяснять причины оных. Последние три года, проведенные мною так беспутно, иногда кажутся мне очень занимательными, поэтическими и частью полезными; постараюсь пооткровеннее и поподробнее вспомнить и написать их. Вот еще третье назначение для дневника.",https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1850.htm,2026-07-20 09:00:00
10,1850-06-15,15 Июня.,1850,Вчера исполнил в точности все назначенное.,https://tolstoy-lit.ru/tolstoy/dnevniki/1847-1854/1850.htm,2026-07-21 09:00:00
